 ,,,
,,,
№,Описание,ОР,Статус
,КОРЗИНА,,
, Добавление продуктов в корзину PUT /api/v1/orders/:id,,
К1,"Продукты добавляются в заранее созданную корзину (напр. id:1 в order_model), если ввести данные с существующим id продукта из БД (напр. id 3)",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Функция добавления доступна круглосуточно,FAILED
,,Продукты в корзину добавлены (order_model),PASSED
К2,Количество продуктов в созданой корзине (напр. id:1 в order_model) суммируется при повторном добавлении продукта с тем же id (напр: id10) из БД,Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину добавлены,PASSED
,,Количество суммировалось (order_model),PASSED
К3,Количество продуктов в созданой корзине  (напр. id:1 в order_model) суммируется при добавлении продукта с тем же id дважды в одном запросе  (напр: id4 и id4),Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину добавлены,FAILED
,,Количество суммировалось (order_model),FAILED
К4,"Продукты НЕ добавляются в существующую корзину, если ввести данные с НЕсуществующим id продукта в order_model (напр. id: 500)",Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К5,"Продукты НЕ добавляются в НЕсуществующую корзину (напр. id50), если ввести данные с существующим id продукта из БД (напр: id4)",Код и статус ответа 404 Not found,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К6,"Продукты НЕ добавляются в существующую корзину, если количество продуктов БОЛЬШЕ доступного количества на складах (напр. id3 - 20 шт)",Код и статус ответа 409 Conflict,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К7,Нулевое количество продукта (id:30 quantity: null) НЕ добавляется в существующую корзину,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в корзину НЕ добавлены (order_model),FAILED
К8,Минусовое количество продукта (quantity: -1) НЕ добавляется в существующую корзину,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К9,Дробное количество продукта (quantity: 2.5) НЕ добавляется в существующую корзину,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в корзину НЕ добавлены (order_model),FAILED
К10,"Ошибка обработки после добавления продуктов с РАЗНЫХ складов их в одну существующую корзину (напр. id 3 - 3 шт, id 44 - 3 шт)",Код и статус ответа 409 Conflict,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К11,Ошибка обработки запроса с без строки количества,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К12,Ошибка обработки запроса с без строки id товара,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К13,Нулевой id продукта (id:null quantity: 1) НЕ добавляется в существующую корзину,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
